c:\sys\ut\rpn\rpn.py -l120 -E -a3010 1 5000 range lambda 2 x ** next_prime 2 x ** - eval 1 enumerate -s1
[
    [ 261, 105 ],
    [ 262, 79 ],
    [ 263, 9 ],
    [ 264, 175 ],
    [ 265, 77 ],
    [ 266, 133 ],
    [ 267, 309 ],
    [ 268, 43 ],
    [ 269, 245 ],
    [ 270, 127 ],
    [ 271, 855 ],
    [ 272, 57 ],
    [ 273, 5 ],
    [ 274, 63 ],
    [ 275, 363 ],
    [ 276, 157 ],
    [ 277, 101 ],
    [ 278, 117 ],
    [ 279, 89 ],
    [ 280, 45 ],
    [ 281, 197 ],
    [ 282, 159 ],
    [ 283, 375 ],
    [ 284, 343 ],
    [ 285, 17 ],
    [ 286, 43 ],
    [ 287, 35 ],
    [ 288, 127 ],
    [ 289, 101 ],
    [ 290, 553 ],
    [ 291, 71 ],
    [ 292, 13 ],
    [ 293, 239 ],
    [ 294, 67 ],
    [ 295, 9 ],
    [ 296, 61 ],
    [ 297, 11 ],
    [ 298, 463 ],
    [ 299, 443 ],
    [ 300, 157 ],
    [ 301, 27 ],
    [ 302, 307 ],
    [ 303, 101 ],
    [ 304, 37 ],
    [ 305, 131 ],
    [ 306, 45 ],
    [ 307, 135 ],
    [ 308, 27 ],
    [ 309, 659 ],
    [ 310, 15 ],
    [ 311, 111 ],
    [ 312, 91 ],
    [ 313, 125 ],
    [ 314, 93 ],
    [ 315, 81 ],
    [ 316, 87 ],
    [ 317, 9 ],
    [ 318, 933 ],
    [ 319, 9 ],
    [ 320, 27 ],
    [ 321, 165 ],
    [ 322, 219 ],
    [ 323, 273 ],
    [ 324, 397 ],
    [ 325, 137 ],
    [ 326, 249 ],
    [ 327, 9 ],
    [ 328, 15 ],
    [ 329, 39 ],
    [ 330, 93 ],
    [ 331, 203 ],
    [ 332, 393 ],
    [ 333, 285 ],
    [ 334, 507 ],
    [ 335, 173 ],
    [ 336, 241 ],
    [ 337, 71 ],
    [ 338, 97 ],
    [ 339, 185 ],
    [ 340, 291 ],
    [ 341, 5 ],
    [ 342, 15 ],
    [ 343, 225 ],
    [ 344, 231 ],
    [ 345, 107 ],
    [ 346, 1039 ],
    [ 347, 441 ],
    [ 348, 241 ],
    [ 349, 377 ],
    [ 350, 427 ],
    [ 351, 143 ],
    [ 352, 55 ],
    [ 353, 141 ],
    [ 354, 805 ],
    [ 355, 141 ],
    [ 356, 691 ],
    [ 357, 231 ],
    [ 358, 417 ],
    [ 359, 23 ],
    [ 360, 105 ],
    [ 361, 281 ],
    [ 362, 705 ],
    [ 363, 309 ],
    [ 364, 867 ],
    [ 365, 239 ],
    [ 366, 309 ],
    [ 367, 69 ],
    [ 368, 127 ],
    [ 369, 65 ],
    [ 370, 69 ],
    [ 371, 329 ],
    [ 372, 147 ],
    [ 373, 585 ],
    [ 374, 289 ],
    [ 375, 81 ],
    [ 376, 115 ],
    [ 377, 435 ],
    [ 378, 25 ],
    [ 379, 99 ],
    [ 380, 127 ],
    [ 381, 507 ],
    [ 382, 255 ],
    [ 383, 369 ],
    [ 384, 231 ],
    [ 385, 189 ],
    [ 386, 235 ],
    [ 387, 789 ],
    [ 388, 133 ],
    [ 389, 89 ],
    [ 390, 3 ],
    [ 391, 885 ],
    [ 392, 207 ],
    [ 393, 77 ],
    [ 394, 97 ],
    [ 395, 29 ],
    [ 396, 231 ],
    [ 397, 387 ],
    [ 398, 127 ],
    [ 399, 51 ],
    [ 400, 181 ],
    [ 401, 807 ],
    [ 402, 505 ],
    [ 403, 293 ],
    [ 404, 55 ],
    [ 405, 539 ],
    [ 406, 129 ],
    [ 407, 309 ],
    [ 408, 37 ],
    [ 409, 29 ],
    [ 410, 33 ],
    [ 411, 63 ],
    [ 412, 67 ],
    [ 413, 221 ],
    [ 414, 315 ],
    [ 415, 323 ],
    [ 416, 235 ],
    [ 417, 245 ],
    [ 418, 163 ],
    [ 419, 299 ],
    [ 420, 45 ],
    [ 421, 105 ],
    [ 422, 163 ],
    [ 423, 309 ],
    [ 424, 163 ],
    [ 425, 57 ],
    [ 426, 423 ],
    [ 427, 69 ],
    [ 428, 345 ],
    [ 429, 131 ],
    [ 430, 73 ],
    [ 431, 173 ],
    [ 432, 1093 ],
    [ 433, 335 ],
    [ 434, 103 ],
    [ 435, 561 ],
    [ 436, 295 ],
    [ 437, 117 ],
    [ 438, 25 ],
    [ 439, 101 ],
    [ 440, 187 ],
    [ 441, 227 ],
    [ 442, 189 ],
    [ 443, 53 ],
    [ 444, 267 ],
    [ 445, 41 ],
    [ 446, 33 ],
    [ 447, 99 ],
    [ 448, 211 ],
    [ 449, 459 ],
    [ 450, 213 ],
    [ 451, 23 ],
    [ 452, 37 ],
    [ 453, 89 ],
    [ 454, 375 ],
    [ 455, 105 ],
    [ 456, 21 ],
    [ 457, 519 ],
    [ 458, 127 ],
    [ 459, 101 ],
    [ 460, 1257 ],
    [ 461, 321 ],
    [ 462, 567 ],
    [ 463, 81 ],
    [ 464, 841 ],
    [ 465, 29 ],
    [ 466, 423 ],
    [ 467, 329 ],
    [ 468, 765 ],
    [ 469, 879 ],
    [ 470, 99 ],
    [ 471, 659 ],
    [ 472, 445 ],
    [ 473, 149 ],
    [ 474, 309 ],
    [ 475, 1235 ],
    [ 476, 223 ],
    [ 477, 315 ],
    [ 478, 583 ],
    [ 479, 221 ],
    [ 480, 165 ],
    [ 481, 65 ],
    [ 482, 475 ],
    [ 483, 329 ],
    [ 484, 333 ],
    [ 485, 165 ],
    [ 486, 207 ],
    [ 487, 443 ],
    [ 488, 777 ],
    [ 489, 179 ],
    [ 490, 655 ],
    [ 491, 813 ],
    [ 492, 21 ],
    [ 493, 549 ],
    [ 494, 375 ],
    [ 495, 51 ],
    [ 496, 583 ],
    [ 497, 159 ],
    [ 498, 375 ],
    [ 499, 161 ],
    [ 500, 55 ],
    [ 501, 519 ],
    [ 502, 49 ],
    [ 503, 165 ],
    [ 504, 133 ],
    [ 505, 51 ],
    [ 506, 559 ],
    [ 507, 351 ],
    [ 508, 15 ],
    [ 509, 35 ],
    [ 510, 15 ],
    [ 511, 111 ],
    [ 512, 75 ],
    [ 513, 159 ],
    [ 514, 169 ],
    [ 515, 15 ],
    [ 516, 121 ],
    [ 517, 357 ],
    [ 518, 37 ],
    [ 519, 393 ],
    [ 520, 513 ],
    [ 521, 887 ],
    [ 522, 345 ],
    [ 523, 375 ],
    [ 524, 117 ],
    [ 525, 731 ],
    [ 526, 697 ],
    [ 527, 249 ],
    [ 528, 381 ],
    [ 529, 69 ],
    [ 530, 189 ],
    [ 531, 375 ],
    [ 532, 123 ],
    [ 533, 279 ],
    [ 534, 675 ],
    [ 535, 83 ],
    [ 536, 37 ],
    [ 537, 701 ],
    [ 538, 87 ],
    [ 539, 119 ],
    [ 540, 31 ],
    [ 541, 729 ],
    [ 542, 93 ],
    [ 543, 989 ],
    [ 544, 163 ],
    [ 545, 845 ],
    [ 546, 15 ],
    [ 547, 809 ],
    [ 548, 453 ],
    [ 549, 261 ],
    [ 550, 1005 ],
    [ 551, 335 ],
    [ 552, 81 ],
    [ 553, 549 ],
    [ 554, 417 ],
    [ 555, 345 ],
    [ 556, 63 ],
